SOLN:IN10:111:BCTRL, -0.02, 0.02
SOLN:IN10:121:BCTRL, 0.37,0.41
QUAD:IN10:121:BCTRL, -0.015, 0.03 
QUAD:IN10:122:BCTRL, -0.03, 0.015
QUAD:IN10:361:BCTRL, -4.5,-2.0
QUAD:IN10:371:BCTRL,  1.0,5.0
QUAD:IN10:425:BCTRL, -7.0,-5.0
QUAD:IN10:441:BCTRL, 1.0,4.0
QUAD:IN10:511:BCTRL, 4.0,5.5
QUAD:IN10:525:BCTRL, -8.5,-2.0
